entry_date,exit_date,days_held,initial_capital,entry_avg_price,exit_price,position_taken,total_invested,total_proceeds,pnl,pnl_pct,capital_after,ma60_alerted
2017-06-28,2017-10-12,106,80000.0,0.4797,0.5233,FULL,120000.0,130906.7,10906.7,9.09,170906.7,True
2017-10-23,2018-01-19,88,170906.7,0.5263,0.5663,FULL,190906.7,205397.3,14490.6,7.59,245397.3,True
2018-01-24,2018-08-01,189,245397.3,0.5539,0.5967,FULL,265397.3,285875.33,20478.03,7.72,405875.33,True
2018-08-02,2019-09-12,406,405875.33,0.5707,0.615,FULL,405875.33,437346.16,31470.83,7.75,697346.16,True
2019-09-19,2019-10-22,33,697346.16,0.6188,0.6663,HALF,348673.08,375439.9,26766.82,7.68,744112.99,False
2019-11-08,2019-12-16,38,764112.99,0.7014,0.7562,FULL,764112.99,823844.09,59731.11,7.82,843844.09,False
2019-12-19,2020-07-13,207,843844.09,0.7546,0.8112,FULL,863844.09,928732.38,64888.29,7.51,1048732.38,True
2020-07-16,2020-07-27,11,1048732.38,0.8054,0.8929,HALF,524366.19,581333.03,56966.84,10.86,1105699.22,False
2020-08-03,2020-08-17,14,1125699.22,0.8875,0.9546,HALF,562849.61,605393.64,42544.03,7.56,1168243.26,False
2020-08-19,2020-11-06,79,1168243.26,0.8944,0.9642,FULL,1168243.26,1259417.97,91174.71,7.8,1319417.97,True
2020-11-25,2020-12-08,13,1319417.97,1.0896,1.1925,HALF,659708.98,722021.84,62312.86,9.45,1401730.82,False
2020-12-11,2021-01-04,24,1401730.82,1.1758,1.2996,HALF,700865.41,774627.65,73762.24,10.52,1495493.06,False
2021-01-18,2021-02-17,30,1495493.06,1.4076,1.5683,FULL,1495493.06,1666270.44,170777.38,11.42,1686270.44,False
2021-02-24,2021-04-06,41,1686270.44,1.5112,1.6683,FULL,1706270.44,1883678.73,177408.3,10.4,1903678.73,False
2021-04-13,2021-04-26,13,1903678.73,1.675,1.8217,HALF,951839.37,1035184.51,83345.14,8.76,1987023.87,False
2021-05-03,2021-06-30,58,2007023.87,1.7428,1.8925,FULL,2007023.87,2179402.51,172378.64,8.59,2199402.51,True
2021-07-02,2021-11-18,139,2219402.51,1.8502,1.9942,FULL,2219402.51,2392132.7,172730.19,7.78,2472132.7,True
2021-11-23,2021-12-28,35,2472132.7,1.9194,2.0813,FULL,2472132.7,2680613.61,208480.9,8.43,2700613.61,False
2022-01-06,2023-12-27,720,2720613.61,2.0864,2.2708,FULL,2720613.61,2961116.59,240502.99,8.84,3421116.59,True
2024-01-02,2024-02-15,44,3441116.59,2.2205,2.4688,FULL,3441116.59,3825916.15,384799.56,11.18,3845916.15,True
2024-02-21,2024-03-05,13,3845916.15,2.4688,2.6604,HALF,1922958.08,2072251.02,149292.95,7.76,4015209.1,False
2024-03-15,2024-04-09,25,4015209.1,2.7625,3.0729,HALF,2007604.55,2233195.11,225590.56,11.24,4260799.65,False
2024-04-15,2024-05-15,30,4260799.65,2.881,3.1438,FULL,4260799.65,4649318.08,388518.43,9.12,4669318.08,False
2024-05-21,2024-06-13,23,4669318.08,3.1708,3.4833,HALF,2334659.04,2564750.27,230091.23,9.86,4919409.32,False
2024-06-24,2024-07-04,10,4919409.32,3.6417,3.9292,HALF,2459704.66,2653891.87,194187.21,7.89,5133596.52,False
2024-07-12,2025-09-12,427,5133596.52,3.9205,4.2479,FULL,5133596.52,5562351.69,428755.17,8.35,5842351.69,True
2025-09-26,2025-10-03,7,5842351.69,4.3104,4.6771,HALF,2921175.85,3169666.4,248490.55,8.51,6110842.24,False
2025-10-13,2025-10-27,14,6110842.24,4.7417,5.1708,HALF,3055421.12,3331966.27,276545.15,9.05,6387387.39,False
2025-11-03,2026-01-02,60,6407387.39,5.0914,5.5708,FULL,6407387.39,7010800.99,603413.6,9.42,7050800.99,True
2026-01-09,2026-01-19,10,7050800.99,5.9417,6.4333,HALF,3525400.49,3817123.68,291723.18,8.27,7342524.17,False
2026-01-21,2026-01-28,7,7342524.17,6.2896,6.8688,HALF,3671262.08,4009324.64,338062.56,9.21,7680586.73,False
2026-01-30,2026-02-11,12,7680586.73,6.485,7.2062,FULL,7700586.73,8557008.27,856421.55,11.12,8557008.27,False
2026-03-03,2026-04-10,38,8577008.27,7.094,7.725,FULL,8577008.27,9339869.66,762861.39,8.89,9359869.66,True
2026-04-30,2026-05-04,4,9359869.66,9.3396,10.1417,HALF,4679934.83,5081847.59,401912.76,8.59,9781782.42,False
2026-05-12,2026-05-25,13,9781782.42,10.1856,11.4771,FULL,9781782.42,11022093.14,1240310.71,12.68,11022093.14,False
2026-06-05,2026-06-18,13,11042093.14,11.6106,12.7812,FULL,11042093.14,12155452.72,1113359.58,10.08,12155452.72,False
