date,action,price,capital_before,capital_after,invested_amount,shares_before,shares_after,avg_cost_before,avg_cost_after
2021-11-23,BUY_TRANCHE_1,1.96,2472132.7,1236066.35,1236066.35,0.0,630646.0977,0.0,1.96
2021-11-26,BUY_TRANCHE_2,1.8804,1236066.35,0.0,1236066.35,630646.0977,1287982.5132,1.96,1.9194
2021-12-28,SELL_ALL,2.0813,20000.0,2700613.61,-2680613.61,1287982.5132,0.0,1.9194,0.0
2022-01-06,BUY_TRANCHE_1,2.0979,2720613.61,1360306.8,1360306.8,0.0,648408.4065,0.0,2.0979
2022-01-20,BUY_TRANCHE_2,2.075,1360306.8,0.0,1360306.8,648408.4065,1303977.95,2.0979,2.0864
2022-01-25,ALERT_MA60,1.9692,0.0,0.0,0.0,1303977.95,1303977.95,2.0864,2.0864
2023-12-27,SELL_ALL,2.2708,460000.0,3421116.59,-2961116.59,1303977.95,0.0,2.0864,0.0
2024-01-02,BUY_TRANCHE_1,2.25,3441116.59,1720558.3,1720558.3,0.0,764692.5766,0.0,2.25
2024-01-03,BUY_TRANCHE_2,2.1917,1720558.3,0.0,1720558.3,764692.5766,1549738.1876,2.25,2.2205
2024-01-17,ALERT_MA60,2.1104,0.0,0.0,0.0,1549738.1876,1549738.1876,2.2205,2.2205
2024-02-15,SELL_ALL,2.4688,20000.0,3845916.15,-3825916.15,1549738.1876,0.0,2.2205,0.0
2024-02-21,BUY_TRANCHE_1,2.4688,3845916.15,1922958.08,1922958.08,0.0,778919.7267,0.0,2.4688
2024-03-05,SELL_ALL,2.6604,1942958.08,4015209.1,-2072251.02,778919.7267,0.0,2.4688,0.0
2024-03-15,BUY_TRANCHE_1,2.7625,4015209.1,2007604.55,2007604.55,0.0,726734.6784,0.0,2.7625
2024-04-09,SELL_ALL,3.0729,2027604.55,4260799.65,-2233195.11,726734.6784,0.0,2.7625,0.0
2024-04-15,BUY_TRANCHE_1,2.9646,4260799.65,2130399.83,2130399.83,0.0,718616.9481,0.0,2.9646
2024-04-16,BUY_TRANCHE_2,2.8021,2130399.83,0.0,2130399.83,718616.9481,1478908.3363,2.9646,2.881
2024-05-15,SELL_ALL,3.1438,20000.0,4669318.08,-4649318.08,1478908.3363,0.0,2.881,0.0
2024-05-21,BUY_TRANCHE_1,3.1708,4669318.08,2334659.04,2334659.04,0.0,736291.9446,0.0,3.1708
2024-06-13,SELL_ALL,3.4833,2354659.04,4919409.32,-2564750.27,736291.9446,0.0,3.1708,0.0
2024-06-24,BUY_TRANCHE_1,3.6417,4919409.32,2459704.66,2459704.66,0.0,675433.7732,0.0,3.6417
2024-07-04,SELL_ALL,3.9292,2479704.66,5133596.52,-2653891.87,675433.7732,0.0,3.6417,0.0
2024-07-12,BUY_TRANCHE_1,3.9958,5133596.52,2566798.26,2566798.26,0.0,642368.6997,0.0,3.9958
