date,close
2016-10-05,9.98
2016-10-06,10.01
2016-10-07,10.0
2016-10-11,9.86
2016-10-12,10.04
2016-10-13,9.88
2016-10-14,9.83
2016-10-17,9.82
2016-10-18,9.9
2016-10-19,10.0
2016-10-20,10.09
2016-10-21,10.06
2016-10-24,10.13
2016-10-25,10.3
2016-10-26,10.18
2016-10-27,10.07
2016-10-28,10.05
2016-10-31,10.09
2016-11-01,10.07
2016-11-02,9.77
2016-11-03,9.65
2016-11-04,9.6
2016-11-07,9.88
2016-11-08,9.93
2016-11-09,9.3
2016-11-10,9.85
2016-11-11,9.36
2016-11-14,9.35
2016-11-15,9.32
2016-11-16,9.42
2016-11-17,9.4
2016-11-18,9.48
2016-11-21,9.54
2016-11-22,9.81
2016-11-23,9.87
2016-11-24,9.81
2016-11-25,9.84
2016-11-28,9.97
2016-11-29,9.94
2016-11-30,9.94
2016-12-01,10.05
2016-12-02,9.83
2016-12-05,9.82
2016-12-06,10.05
2016-12-07,10.04
2016-12-08,10.26
2016-12-09,10.34
2016-12-12,10.25
2016-12-13,10.31
2016-12-14,10.28
2016-12-15,10.29
2016-12-16,10.18
2016-12-19,10.03
2016-12-20,10.0
2016-12-21,9.97
2016-12-22,9.77
2016-12-23,9.72
2016-12-26,9.74
2016-12-27,9.74
2016-12-28,9.94
2016-12-29,9.88
2016-12-30,10.04
2017-01-03,10.05
2017-01-04,10.08
2017-01-05,10.23
2017-01-06,10.26
2017-01-09,10.2
2017-01-10,10.2
2017-01-11,10.2
2017-01-12,10.38
2017-01-13,10.27
2017-01-16,10.08
2017-01-17,10.21
2017-01-18,10.17
2017-01-19,10.14
2017-01-20,10.21
2017-01-23,10.38
2017-01-24,10.47
2017-02-02,10.36
2017-02-03,10.42
2017-02-06,10.59
2017-02-07,10.63
2017-02-08,10.62
2017-02-09,10.75
2017-02-10,10.92
2017-02-13,11.01
2017-02-14,11.04
2017-02-15,11.26
2017-02-16,11.18
2017-02-17,11.18
2017-02-18,11.24
2017-02-20,11.12
2017-02-21,11.17
2017-02-22,11.2
2017-02-23,11.19
2017-02-24,11.19
2017-03-01,10.99
2017-03-02,10.98
2017-03-03,10.88
2017-03-06,10.98
2017-03-07,11.09
2017-03-08,11.14
2017-03-09,10.91
2017-03-10,10.88
2017-03-13,11.0
2017-03-14,11.15
2017-03-15,11.11
2017-03-16,11.36
2017-03-17,11.46
2017-03-20,11.49
2017-03-21,11.66
2017-03-22,11.47
2017-03-23,11.53
2017-03-24,11.48
2017-03-27,11.42
2017-03-28,11.41
2017-03-29,11.39
2017-03-30,11.38
2017-03-31,11.31
2017-04-05,11.57
2017-04-06,11.46
2017-04-07,11.39
2017-04-10,11.41
2017-04-11,11.3
2017-04-12,11.28
2017-04-13,11.37
2017-04-14,11.06
2017-04-17,11.08
2017-04-18,11.1
2017-04-19,10.88
2017-04-20,10.85
2017-04-21,11.05
2017-04-24,11.05
2017-04-25,11.29
2017-04-26,11.37
2017-04-27,11.36
2017-04-28,11.41
2017-05-02,11.56
2017-05-03,11.59
2017-05-04,11.61
2017-05-05,11.47
2017-05-08,11.52
2017-05-09,11.52
2017-05-10,11.62
2017-05-11,11.7
2017-05-12,11.67
2017-05-15,11.8
2017-05-16,11.77
2017-05-17,11.72
2017-05-18,11.65
2017-05-19,11.63
2017-05-22,11.69
2017-05-23,11.76
2017-05-24,11.8
2017-05-25,12.0
2017-05-26,11.96
2017-05-31,11.81
2017-06-01,11.91
2017-06-02,12.04
2017-06-03,12.11
2017-06-05,12.22
2017-06-06,12.19
2017-06-07,12.21
2017-06-08,12.24
2017-06-09,12.2
2017-06-12,12.03
2017-06-13,12.05
2017-06-14,11.86
2017-06-15,11.91
2017-06-16,12.1
2017-06-19,12.33
2017-06-20,12.52
2017-06-21,12.54
2017-06-22,12.66
