date,action,price,capital_before,capital_after,invested_amount,shares_before,shares_after,avg_cost_before,avg_cost_after
2016-10-11,BUY_TRANCHE_1,3.2443,80000.0,40000.0,40000.0,0.0,12329.3703,0.0,3.2443
2016-10-17,BUY_TRANCHE_2,3.2286,40000.0,0.0,40000.0,12329.3703,24718.7509,3.2443,3.2364
2016-11-03,ALERT_MA60,3.1843,20000.0,20000.0,0.0,24718.7509,24718.7509,3.2364,3.2364
2017-02-06,SELL_ALL,3.48,80000.0,166021.25,-86021.25,24718.7509,0.0,3.2364,0.0
2017-02-20,BUY_TRANCHE_1,3.6657,166021.25,83010.63,83010.63,0.0,22645.1436,0.0,3.6657
2017-03-03,BUY_TRANCHE_2,3.5857,103010.63,0.0,103010.63,22645.1436,51373.2068,3.6657,3.621
2017-04-19,ALERT_MA60,3.5786,20000.0,20000.0,0.0,51373.2068,51373.2068,3.621,3.621
2017-05-25,SELL_ALL,3.9543,40000.0,243144.34,-203144.34,51373.2068,0.0,3.621,0.0
2017-05-31,BUY_TRANCHE_1,3.8929,243144.34,121572.17,121572.17,0.0,31229.548,0.0,3.8929
2017-06-14,BUY_TRANCHE_2,3.9086,141572.17,0.0,141572.17,31229.548,67450.4976,3.8929,3.9013
2017-06-26,SELL_ALL,4.3086,0.0,290615.29,-290615.29,67450.4976,0.0,3.9013,0.0
2017-06-28,BUY_TRANCHE_1,4.2129,290615.29,145307.64,145307.64,0.0,34491.4718,0.0,4.2129
2017-08-10,BUY_TRANCHE_2,4.3671,185307.64,0.0,185307.64,34491.4718,76923.7094,4.2129,4.298
2017-09-18,SELL_ALL,4.6614,20000.0,378574.38,-358574.38,76923.7094,0.0,4.298,0.0
2017-09-20,BUY_TRANCHE_1,4.57,378574.38,189287.19,189287.19,0.0,41419.5161,0.0,4.57
2017-09-20,BUY_TRANCHE_2,4.57,189287.19,0.0,189287.19,41419.5161,82839.0321,4.57,4.57
2017-09-25,ALERT_MA60,4.4143,0.0,0.0,0.0,82839.0321,82839.0321,4.57,4.57
2018-01-15,SELL_ALL,4.96,80000.0,490881.6,-410881.6,82839.0321,0.0,4.57,0.0
2018-01-24,BUY_TRANCHE_1,5.1143,490881.6,245440.8,245440.8,0.0,47991.2178,0.0,5.1143
2018-02-05,BUY_TRANCHE_2,4.9371,265440.8,0.0,265440.8,47991.2178,101755.2687,5.1143,5.0207
2018-02-06,ALERT_MA60,4.4414,0.0,0.0,0.0,101755.2687,101755.2687,5.0207,5.0207
2018-08-29,SELL_ALL,5.4129,120000.0,670786.73,-550786.73,101755.2687,0.0,5.0207,0.0
2018-09-03,BUY_TRANCHE_1,5.3,690786.73,345393.37,345393.37,0.0,65168.5597,0.0,5.3
2018-09-07,BUY_TRANCHE_2,5.2143,345393.37,0.0,345393.37,65168.5597,131408.3834,5.3,5.2568
2018-09-10,ALERT_MA60,5.1229,0.0,0.0,0.0,131408.3834,131408.3834,5.2568,5.2568
2019-10-01,SELL_ALL,5.6657,260000.0,1004522.36,-744522.36,131408.3834,0.0,5.2568,0.0
2019-10-03,BUY_TRANCHE_1,5.56,1004522.36,502261.18,502261.18,0.0,90334.7442,0.0,5.56
2019-10-24,SELL_ALL,6.0,502261.18,1044269.64,-542008.47,90334.7442,0.0,5.56,0.0
2019-11-08,BUY_TRANCHE_1,6.3271,1064269.64,532134.82,532134.82,0.0,84103.494,0.0,6.3271
2019-11-29,BUY_TRANCHE_2,6.2129,532134.82,0.0,532134.82,84103.494,169754.0746,6.3271,6.2695
2019-12-16,SELL_ALL,6.7586,20000.0,1167295.04,-1147295.04,169754.0746,0.0,6.2695,0.0
2019-12-20,BUY_TRANCHE_1,6.8114,1167295.04,583647.52,583647.52,0.0,85686.5066,0.0,6.8114
2020-01-07,BUY_TRANCHE_2,6.69,603647.52,0.0,603647.52,85686.5066,175917.8248,6.8114,6.7491
2020-01-30,ALERT_MA60,6.1143,0.0,0.0,0.0,175917.8248,175917.8248,6.7491,6.7491
2020-07-09,SELL_ALL,7.2857,120000.0,1401687.01,-1281687.01,175917.8248,0.0,6.7491,0.0
2020-07-10,BUY_TRANCHE_1,7.1286,1401687.01,700843.5,700843.5,0.0,98314.7201,0.0,7.1286
2020-07-21,SELL_ALL,7.6857,700843.5,1456462.35,-755618.85,98314.7201,0.0,7.1286,0.0
2020-07-24,BUY_TRANCHE_1,7.5071,1456462.35,728231.18,728231.18,0.0,97005.1044,0.0,7.5071
2020-07-31,SELL_ALL,8.0786,728231.18,1511893.84,-783662.67,97005.1044,0.0,7.5071,0.0
2020-08-03,BUY_TRANCHE_1,7.8286,1531893.84,765946.92,765946.92,0.0,97839.9352,0.0,7.8286
2020-08-17,SELL_ALL,8.4929,765946.92,1596887.51,-830940.59,97839.9352,0.0,7.8286,0.0
2020-08-19,BUY_TRANCHE_1,8.3286,1596887.51,798443.76,798443.76,0.0,95868.0325,0.0,8.3286
2020-08-20,BUY_TRANCHE_2,7.7,798443.76,0.0,798443.76,95868.0325,199562.0269,8.3286,8.002
2020-09-24,ALERT_MA60,7.6929,20000.0,20000.0,0.0,199562.0269,199562.0269,8.002,8.002
2020-10-12,SELL_ALL,8.6286,40000.0,1761935.2,-1721935.2,199562.0269,0.0,8.002,0.0
2020-10-15,BUY_TRANCHE_1,8.5071,1761935.2,880967.6,880967.6,0.0,103556.2252,0.0,8.5071
2020-10-29,BUY_TRANCHE_2,8.2929,880967.6,0.0,880967.6,103556.2252,209788.3219,8.5071,8.3986
2020-10-30,ALERT_MA60,8.1071,0.0,0.0,0.0,209788.3219,209788.3219,8.3986,8.3986
2020-11-11,SELL_ALL,9.1857,20000.0,1947055.59,-1927055.59,209788.3219,0.0,8.3986,0.0
2020-11-25,BUY_TRANCHE_1,9.8786,1947055.59,973527.79,973527.79,0.0,98549.4512,0.0,9.8786
2020-12-08,SELL_ALL,10.8,993527.79,2057861.87,-1064334.07,98549.4512,0.0,9.8786,0.0
2020-12-10,BUY_TRANCHE_1,10.6714,2057861.87,1028930.93,1028930.93,0.0,96419.2306,0.0,10.6714
2020-12-31,SELL_ALL,11.5,1028930.93,2137752.09,-1108821.15,96419.2306,0.0,10.6714,0.0
2021-01-15,BUY_TRANCHE_1,13.0,2157752.09,1078876.04,1078876.04,0.0,82990.4648,0.0,13.0
2021-01-28,BUY_TRANCHE_2,12.7,1078876.04,0.0,1078876.04,82990.4648,167941.3343,13.0,12.8482
2021-02-17,SELL_ALL,14.35,20000.0,2429958.15,-2409958.15,167941.3343,0.0,12.8482,0.0
2021-02-24,BUY_TRANCHE_1,14.0643,2429958.15,1214979.07,1214979.07,0.0,86387.5421,0.0,14.0643
2021-02-26,BUY_TRANCHE_2,13.6,1214979.07,0.0,1214979.07,86387.5421,175724.2386,14.0643,13.8282
2021-04-06,SELL_ALL,15.1714,40000.0,2705987.73,-2665987.73,175724.2386,0.0,13.8282,0.0
2021-04-14,BUY_TRANCHE_1,15.2857,2705987.73,1352993.87,1352993.87,0.0,88513.6175,0.0,15.2857
2021-04-26,SELL_ALL,16.6714,1352993.87,2828642.32,-1475648.45,88513.6175,0.0,15.2857,0.0
2021-05-03,BUY_TRANCHE_1,16.2,2848642.32,1424321.16,1424321.16,0.0,87921.0592,0.0,16.2
2021-05-04,BUY_TRANCHE_2,15.5071,1424321.16,0.0,1424321.16,87921.0592,179770.42,16.2,15.846
2021-05-12,ALERT_MA60,13.4786,0.0,0.0,0.0,179770.42,179770.42,15.846,15.846
2021-06-30,SELL_ALL,17.2357,20000.0,3118471.6,-3098471.6,179770.42,0.0,15.846,0.0
2021-07-07,BUY_TRANCHE_1,17.2714,3138471.6,1569235.8,1569235.8,0.0,90857.325,0.0,17.2714
2021-07-20,BUY_TRANCHE_2,16.7643,1569235.8,0.0,1569235.8,90857.325,184463.2098,17.2714,17.0141
2021-08-11,ALERT_MA60,16.3214,20000.0,20000.0,0.0,184463.2098,184463.2098,17.0141,17.0141
2021-12-23,SELL_ALL,18.35,100000.0,3484899.9,-3384899.9,184463.2098,0.0,17.0141,0.0
2022-01-06,BUY_TRANCHE_1,18.9929,3504899.9,1752449.95,1752449.95,0.0,92268.8955,0.0,18.9929
2022-01-19,BUY_TRANCHE_2,18.9429,1752449.95,0.0,1752449.95,92268.8955,184781.3363,18.9929,18.9678
2022-01-25,ALERT_MA60,17.8143,0.0,0.0,0.0,184781.3363,184781.3363,18.9678,18.9678
2024-01-29,SELL_ALL,20.4714,480000.0,4262737.93,-3782737.93,184781.3363,0.0,18.9678,0.0
2024-01-31,BUY_TRANCHE_1,20.0571,4262737.93,2131368.96,2131368.96,0.0,106264.8344,0.0,20.0571
2024-02-15,SELL_ALL,21.7714,2151368.96,4464906.21,-2313537.25,106264.8344,0.0,20.0571,0.0
2024-03-01,BUY_TRANCHE_1,22.4429,4484906.21,2242453.11,2242453.11,0.0,99918.3434,0.0,22.4429
2024-03-07,SELL_ALL,24.2357,2242453.11,4664045.53,-2421592.42,99918.3434,0.0,22.4429,0.0
2024-03-15,BUY_TRANCHE_1,24.3357,4664045.53,2332022.77,2332022.77,0.0,95827.1756,0.0,24.3357
2024-04-09,SELL_ALL,27.1214,2352022.77,4950992.66,-2598969.9,95827.1756,0.0,24.3357,0.0
2024-04-15,BUY_TRANCHE_1,26.2,4950992.66,2475496.33,2475496.33,0.0,94484.5928,0.0,26.2
2024-04-16,BUY_TRANCHE_2,24.6857,2475496.33,0.0,2475496.33,94484.5928,194765.1155,26.2,25.4203
2024-05-15,SELL_ALL,27.7857,20000.0,5431687.85,-5411687.85,194765.1155,0.0,25.4203,0.0
2024-05-21,BUY_TRANCHE_1,27.9,5431687.85,2715843.93,2715843.93,0.0,97342.0762,0.0,27.9
2024-06-13,SELL_ALL,30.5571,2735843.93,5710339.65,-2974495.73,97342.0762,0.0,27.9,0.0
2024-06-24,BUY_TRANCHE_1,32.0571,5710339.65,2855169.83,2855169.83,0.0,89065.0124,0.0,32.0571
2024-07-05,SELL_ALL,34.4643,2875169.83,5944731.86,-3069562.04,89065.0124,0.0,32.0571,0.0
2024-07-12,BUY_TRANCHE_1,35.1286,5944731.86,2972365.93,2972365.93,0.0,84613.9143,0.0,35.1286
2024-07-18,BUY_TRANCHE_2,33.65,2972365.93,0.0,2972365.93,84613.9143,172945.7398,35.1286,34.3734
2024-07-26,ALERT_MA60,30.1786,0.0,0.0,0.0,172945.7398,172945.7398,34.3734,34.3734
