date,action,price,capital_before,capital_after,invested_amount,shares_before,shares_after,avg_cost_before,avg_cost_after
2025-06-17,BUY_TRANCHE_1,26.94,20000.0,10000.0,10000.0,0.0,371.1952,0.0,26.94
2025-07-03,SELL_ALL,29.21,30000.0,40842.61,-10842.61,371.1952,0.0,26.94,0.0
2025-07-07,BUY_TRANCHE_1,28.34,40842.61,20421.31,20421.31,0.0,720.5824,0.0,28.34
2025-07-17,SELL_ALL,30.71,20421.31,42550.39,-22129.09,720.5824,0.0,28.34,0.0
2025-07-22,BUY_TRANCHE_1,30.52,42550.39,21275.2,21275.2,0.0,697.0903,0.0,30.52
2025-08-07,SELL_ALL,33.1,41275.2,64348.89,-23073.69,697.0903,0.0,30.52,0.0
2025-08-19,BUY_TRANCHE_1,34.06,64348.89,32174.44,32174.44,0.0,944.6401,0.0,34.06
2025-08-20,BUY_TRANCHE_2,32.28,32174.44,0.0,32174.44,944.6401,1941.3701,34.06,33.1461
2025-09-10,SELL_ALL,36.54,20000.0,90937.66,-70937.66,1941.3701,0.0,33.1461,0.0
2025-09-26,BUY_TRANCHE_1,37.81,90937.66,45468.83,45468.83,0.0,1202.561,0.0,37.81
2025-10-03,SELL_ALL,40.99,65468.83,114761.81,-49292.98,1202.561,0.0,37.81,0.0
2025-10-13,BUY_TRANCHE_1,41.6,114761.81,57380.9,57380.9,0.0,1379.3487,0.0,41.6
2025-10-27,SELL_ALL,45.28,57380.9,119837.81,-62456.91,1379.3487,0.0,41.6,0.0
2025-11-03,BUY_TRANCHE_1,45.64,139837.81,69918.91,69918.91,0.0,1531.9655,0.0,45.64
2025-11-07,BUY_TRANCHE_2,43.67,69918.91,0.0,69918.91,1531.9655,3133.0396,45.64,44.6333
2025-11-21,ALERT_MA60,40.1,0.0,0.0,0.0,3133.0396,3133.0396,44.6333,44.6333
2026-01-02,SELL_ALL,49.0,40000.0,193518.94,-153518.94,3133.0396,0.0,44.6333,0.0
2026-01-09,BUY_TRANCHE_1,52.2,193518.94,96759.47,96759.47,0.0,1853.6297,0.0,52.2
2026-01-19,SELL_ALL,56.6,96759.47,201674.91,-104915.44,1853.6297,0.0,52.2,0.0
2026-01-21,BUY_TRANCHE_1,55.4,201674.91,100837.46,100837.46,0.0,1820.1707,0.0,55.4
2026-01-28,SELL_ALL,60.6,100837.46,211139.8,-110302.34,1820.1707,0.0,55.4,0.0
2026-01-30,BUY_TRANCHE_1,58.25,211139.8,105569.9,105569.9,0.0,1812.3588,0.0,58.25
2026-02-06,BUY_TRANCHE_2,56.05,125569.9,0.0,125569.9,1812.3588,4052.6781,58.25,57.0338
2026-02-11,SELL_ALL,63.4,0.0,256939.79,-256939.79,4052.6781,0.0,57.0338,0.0
2026-03-03,BUY_TRANCHE_1,65.6,276939.79,138469.9,138469.9,0.0,2110.8216,0.0,65.6
2026-03-04,BUY_TRANCHE_2,59.7,138469.9,0.0,138469.9,2110.8216,4430.2503,65.6,62.5111
2026-03-30,ALERT_MA60,57.6,0.0,0.0,0.0,4430.2503,4430.2503,62.5111,62.5111
2026-04-10,SELL_ALL,68.0,20000.0,321257.02,-301257.02,4430.2503,0.0,62.5111,0.0
2026-04-30,BUY_TRANCHE_1,82.0,321257.02,160628.51,160628.51,0.0,1958.8843,0.0,82.0
2026-05-04,SELL_ALL,89.2,180628.51,355360.99,-174732.48,1958.8843,0.0,82.0,0.0
2026-05-12,BUY_TRANCHE_1,93.15,355360.99,177680.5,177680.5,0.0,1907.4664,0.0,93.15
2026-05-19,BUY_TRANCHE_2,85.95,177680.5,0.0,177680.5,1907.4664,3974.7206,93.15,89.4053
2026-05-25,SELL_ALL,100.8,0.0,400651.83,-400651.83,3974.7206,0.0,89.4053,0.0
2026-06-05,BUY_TRANCHE_1,106.65,420651.83,210325.92,210325.92,0.0,1972.1136,0.0,106.65
2026-06-08,BUY_TRANCHE_2,97.65,210325.92,0.0,210325.92,1972.1136,4125.9888,106.65,101.9518
2026-06-18,SELL_ALL,111.9,0.0,461698.15,-461698.15,4125.9888,0.0,101.9518,0.0
2026-06-24,BUY_TRANCHE_1,110.55,461698.15,230849.08,230849.08,0.0,2088.187,0.0,110.55
2026-06-26,BUY_TRANCHE_2,102.0,230849.08,0.0,230849.08,2088.187,4351.4133,110.55,106.103
2026-07-01,SELL_ALL,114.1,20000.0,516496.25,-496496.25,4351.4133,0.0,106.103,0.0
2026-07-06,BUY_TRANCHE_1,112.15,516496.25,258248.13,258248.13,0.0,2302.7029,0.0,112.15
2026-07-07,BUY_TRANCHE_2,106.7,258248.13,0.0,258248.13,2302.7029,4723.0227,112.15,109.3571
