date,close
2016-07-14,20.04
2016-07-15,20.52
2016-07-18,20.89
2016-07-19,21.02
2016-07-20,20.91
2016-07-21,21.35
2016-07-22,21.14
2016-07-25,20.91
2016-07-26,21.18
2016-07-27,21.32
2016-07-28,21.37
2016-07-29,21.09
2016-08-01,21.51
2016-08-02,21.48
2016-08-03,21.14
2016-08-04,21.26
2016-08-05,21.68
2016-08-08,21.96
2016-08-09,22.01
2016-08-10,22.18
2016-08-11,21.85
2016-08-12,22.03
2016-08-15,22.01
2016-08-16,21.86
2016-08-17,21.84
2016-08-18,21.92
2016-08-19,21.52
2016-08-22,21.23
2016-08-23,21.61
2016-08-24,21.53
2016-08-25,21.98
2016-08-26,22.08
2016-08-29,21.88
2016-08-30,21.91
2016-08-31,21.65
2016-09-01,21.43
2016-09-02,21.38
2016-09-05,21.99
2016-09-06,22.43
2016-09-07,22.93
2016-09-08,22.9
2016-09-09,22.32
2016-09-10,21.59
2016-09-12,21.31
2016-09-13,21.18
2016-09-14,21.08
2016-09-19,22.39
2016-09-20,22.37
2016-09-21,22.61
2016-09-22,22.75
2016-09-23,23.02
2016-09-26,22.58
2016-09-29,23.09
2016-09-30,22.55
2016-10-03,22.73
2016-10-04,23.05
2016-10-05,22.96
2016-10-06,23.05
2016-10-07,23.03
2016-10-11,22.71
2016-10-12,23.12
2016-10-13,22.8
2016-10-14,22.63
2016-10-17,22.6
2016-10-18,22.87
2016-10-19,23.11
2016-10-20,23.27
2016-10-21,23.24
2016-10-24,23.37
2016-10-25,23.75
2016-10-26,23.52
2016-10-27,23.28
2016-10-28,23.22
2016-10-31,23.29
2016-11-01,23.24
2016-11-02,22.64
2016-11-03,22.29
2016-11-04,22.2
2016-11-07,22.82
2016-11-08,22.95
2016-11-09,21.5
2016-11-10,22.74
2016-11-11,21.62
2016-11-14,21.53
2016-11-15,21.51
2016-11-16,21.67
2016-11-17,21.66
2016-11-18,21.8
2016-11-21,21.96
2016-11-22,22.57
2016-11-23,22.71
2016-11-24,22.57
2016-11-25,22.65
2016-11-28,22.95
2016-11-29,22.88
2016-11-30,22.92
2016-12-01,23.15
2016-12-02,22.67
2016-12-05,22.61
2016-12-06,23.15
2016-12-07,23.16
2016-12-08,23.62
2016-12-09,23.79
2016-12-12,23.63
2016-12-13,23.72
2016-12-14,23.72
2016-12-15,23.69
2016-12-16,23.46
2016-12-19,23.14
2016-12-20,23.08
2016-12-21,23.03
2016-12-22,22.55
2016-12-23,22.37
2016-12-26,22.48
2016-12-27,22.47
2016-12-28,22.92
2016-12-29,22.77
2016-12-30,23.16
2017-01-03,23.18
2017-01-04,23.22
2017-01-05,23.59
2017-01-06,23.67
2017-01-09,23.56
2017-01-10,23.55
2017-01-11,23.57
2017-01-12,23.91
2017-01-13,23.72
2017-01-16,23.29
2017-01-17,23.52
2017-01-18,23.42
2017-01-19,23.34
2017-01-20,23.48
2017-01-23,23.88
2017-01-24,24.1
2017-02-02,23.89
2017-02-03,24.03
2017-02-06,24.36
2017-02-07,24.48
2017-02-08,24.45
2017-02-09,24.75
2017-02-10,25.17
2017-02-13,25.36
2017-02-14,25.46
2017-02-15,25.91
2017-02-16,25.79
2017-02-17,25.73
2017-02-18,25.86
2017-02-20,25.66
2017-02-21,25.75
2017-02-22,25.86
2017-02-23,25.79
2017-02-24,25.78
2017-03-01,25.34
2017-03-02,25.34
2017-03-03,25.1
2017-03-06,25.27
2017-03-07,25.53
2017-03-08,25.67
2017-03-09,25.15
2017-03-10,25.04
2017-03-13,25.36
2017-03-14,25.68
2017-03-15,25.59
2017-03-16,26.18
2017-03-17,26.39
2017-03-20,26.47
2017-03-21,26.86
2017-03-22,26.48
2017-03-23,26.58
2017-03-24,26.48
2017-03-27,26.36
2017-03-28,26.35
2017-03-29,26.29
2017-03-30,26.26
2017-03-31,26.1
2017-04-05,26.69
2017-04-06,26.43
2017-04-07,26.27
2017-04-10,26.33
2017-04-11,26.06
2017-04-12,25.99
2017-04-13,26.19
2017-04-14,25.53
2017-04-17,25.54
2017-04-18,25.56
2017-04-19,25.05
2017-04-20,25.04
2017-04-21,25.48
2017-04-24,25.49
2017-04-25,26.02
2017-04-26,26.22
2017-04-27,26.2
2017-04-28,26.27
2017-05-02,26.65
2017-05-03,26.72
2017-05-04,26.73
2017-05-05,26.38
2017-05-08,26.56
2017-05-09,26.55
2017-05-10,26.75
2017-05-11,26.99
2017-05-12,26.9
2017-05-15,27.16
2017-05-16,27.14
2017-05-17,26.99
2017-05-18,26.83
2017-05-19,26.79
2017-05-22,26.96
2017-05-23,27.11
2017-05-24,27.22
2017-05-25,27.68
2017-05-26,27.59
2017-05-31,27.25
2017-06-01,27.47
2017-06-02,27.77
2017-06-03,27.94
2017-06-05,28.19
2017-06-06,28.11
2017-06-07,28.1
2017-06-08,28.2
2017-06-09,28.12
2017-06-12,27.71
2017-06-13,27.74
2017-06-14,27.36
2017-06-15,27.4
2017-06-16,27.9
2017-06-19,28.42
2017-06-20,28.92
2017-06-21,29.01
2017-06-22,29.27
2017-06-23,29.19
2017-06-26,30.16
2017-06-27,30.07
2017-06-28,29.49
2017-06-29,29.61
2017-06-30,29.4
2017-07-03,29.54
2017-07-04,29.2
2017-07-05,29.64
2017-07-06,29.51
2017-07-07,29.13
2017-07-10,29.19
2017-07-11,29.99
2017-07-12,29.96
2017-07-13,30.38
2017-07-14,30.25
2017-07-17,30.38
2017-07-18,30.58
2017-07-19,30.77
2017-07-20,30.82
2017-07-21,30.5
2017-07-24,30.63
2017-07-25,30.71
2017-07-26,30.47
2017-07-27,31.2
2017-07-28,30.54
