date,action,price,capital_before,capital_after,invested_amount,shares_before,shares_after,avg_cost_before,avg_cost_after
2015-01-29,BUY_TRANCHE_1,1.0082,80000.0,40000.0,40000.0,0.0,39675.3832,0.0,1.0082
2015-03-10,BUY_TRANCHE_2,1.0264,80000.0,0.0,80000.0,39675.3832,117620.4674,1.0082,1.0202
2015-04-15,ALERT_MA60,1.0164,20000.0,20000.0,0.0,117620.4674,117620.4674,1.0202,1.0202
2015-04-24,SELL_ALL,1.1091,20000.0,150451.79,-130451.79,117620.4674,0.0,1.0202,0.0
2015-04-29,BUY_TRANCHE_1,1.1005,150451.79,75225.9,75225.9,0.0,68358.9303,0.0,1.1005
2015-05-07,BUY_TRANCHE_2,1.0636,95225.9,0.0,95225.9,68358.9303,157887.55,1.1005,1.0796
2015-05-14,ALERT_MA60,1.0445,0.0,0.0,0.0,157887.55,157887.55,1.0796,1.0796
2016-10-24,SELL_ALL,1.1627,340000.0,523580.16,-183580.16,157887.55,0.0,1.0796,0.0
2016-10-27,BUY_TRANCHE_1,1.1573,523580.16,261790.08,261790.08,0.0,226212.9523,0.0,1.1573
2016-11-02,BUY_TRANCHE_2,1.1227,281790.08,0.0,281790.08,226212.9523,477200.0682,1.1573,1.1391
2016-11-04,ALERT_MA60,1.1027,0.0,0.0,0.0,477200.0682,477200.0682,1.1391,1.1391
2017-02-10,SELL_ALL,1.2323,60000.0,648040.63,-588040.63,477200.0682,0.0,1.1391,0.0
2017-02-20,BUY_TRANCHE_1,1.2486,648040.63,324020.31,324020.31,0.0,259499.342,0.0,1.2486
2017-03-03,BUY_TRANCHE_2,1.2186,344020.31,0.0,344020.31,259499.342,541798.7424,1.2486,1.233
2017-04-19,ALERT_MA60,1.23,20000.0,20000.0,0.0,541798.7424,541798.7424,1.233,1.233
2017-05-10,SELL_ALL,1.335,40000.0,763301.32,-723301.32,541798.7424,0.0,1.233,0.0
2017-05-17,BUY_TRANCHE_1,1.3395,763301.32,381650.66,381650.66,0.0,284910.5712,0.0,1.3395
2017-06-14,BUY_TRANCHE_2,1.36,401650.66,0.0,401650.66,284910.5712,580241.9392,1.3395,1.35
2017-06-21,SELL_ALL,1.4523,0.0,842669.54,-842669.54,580241.9392,0.0,1.35,0.0
2017-06-28,BUY_TRANCHE_1,1.4827,842669.54,421334.77,421334.77,0.0,284162.0165,0.0,1.4827
2017-08-10,BUY_TRANCHE_2,1.5418,461334.77,0.0,461334.77,284162.0165,583376.786,1.4827,1.513
2017-09-25,ALERT_MA60,1.5309,20000.0,20000.0,0.0,583376.786,583376.786,1.513,1.513
2017-10-12,SELL_ALL,1.6414,40000.0,997533.44,-957533.44,583376.786,0.0,1.513,0.0
2017-10-24,BUY_TRANCHE_1,1.6586,997533.44,498766.72,498766.72,0.0,300708.903,0.0,1.6586
2017-11-09,BUY_TRANCHE_2,1.6523,518766.72,0.0,518766.72,300708.903,614680.5088,1.6586,1.6554
2017-11-30,ALERT_MA60,1.5914,0.0,0.0,0.0,614680.5088,614680.5088,1.6554,1.6554
2018-01-22,SELL_ALL,1.7964,40000.0,1144189.71,-1104189.71,614680.5088,0.0,1.6554,0.0
2018-01-24,BUY_TRANCHE_1,1.7645,1144189.71,572094.86,572094.86,0.0,324216.5599,0.0,1.7645
2018-02-05,BUY_TRANCHE_2,1.7036,592094.86,0.0,592094.86,324216.5599,671764.2347,1.7645,1.733
2018-02-06,ALERT_MA60,1.5273,0.0,0.0,0.0,671764.2347,671764.2347,1.733,1.733
2018-08-29,SELL_ALL,1.87,120000.0,1376199.12,-1256199.12,671764.2347,0.0,1.733,0.0
2018-09-03,BUY_TRANCHE_1,1.8336,1396199.12,698099.56,698099.56,0.0,380718.6492,0.0,1.8336
2018-09-10,BUY_TRANCHE_2,1.7927,698099.56,0.0,698099.56,380718.6492,770125.0972,1.8336,1.813
2018-10-04,ALERT_MA60,1.7677,20000.0,20000.0,0.0,770125.0972,770125.0972,1.813,1.813
2019-10-01,SELL_ALL,1.9777,260000.0,1783097.41,-1523097.41,770125.0972,0.0,1.813,0.0
2019-10-03,BUY_TRANCHE_1,1.9373,1783097.41,891548.7,891548.7,0.0,460208.1532,0.0,1.9373
2019-10-22,SELL_ALL,2.0941,891548.7,1855266.41,-963717.71,460208.1532,0.0,1.9373,0.0
2019-11-08,BUY_TRANCHE_1,2.2441,1875266.41,937633.21,937633.21,0.0,417823.1832,0.0,2.2441
2019-11-29,BUY_TRANCHE_2,2.1991,937633.21,0.0,937633.21,417823.1832,844196.2827,2.2441,2.2214
2019-12-13,SELL_ALL,2.4205,20000.0,2063338.73,-2043338.73,844196.2827,0.0,2.2214,0.0
2019-12-19,BUY_TRANCHE_1,2.45,2063338.73,1031669.36,1031669.36,0.0,421089.5367,0.0,2.45
2020-01-06,BUY_TRANCHE_2,2.4159,1051669.36,0.0,1051669.36,421089.5367,856399.5277,2.45,2.4327
2020-01-30,ALERT_MA60,2.1932,0.0,0.0,0.0,856399.5277,856399.5277,2.4327,2.4327
2020-07-15,SELL_ALL,2.6318,120000.0,2373887.85,-2253887.85,856399.5277,0.0,2.4327,0.0
2020-07-16,BUY_TRANCHE_1,2.5932,2373887.85,1186943.92,1186943.92,0.0,457717.2012,0.0,2.5932
2020-07-27,SELL_ALL,2.8682,1186943.92,2499760.08,-1312816.15,457717.2012,0.0,2.5932,0.0
2020-08-03,BUY_TRANCHE_1,2.8227,2519760.08,1259880.04,1259880.04,0.0,446334.3134,0.0,2.8227
2020-08-17,SELL_ALL,3.0568,1259880.04,2624242.88,-1364362.84,446334.3134,0.0,2.8227,0.0
2020-08-19,BUY_TRANCHE_1,2.9773,2624242.88,1312121.44,1312121.44,0.0,440712.5453,0.0,2.9773
2020-08-20,BUY_TRANCHE_2,2.7591,1312121.44,0.0,1312121.44,440712.5453,916275.5061,2.9773,2.864
2020-09-16,SELL_ALL,3.0864,20000.0,2847959.4,-2827959.4,916275.5061,0.0,2.864,0.0
2020-09-18,BUY_TRANCHE_1,3.0341,2847959.4,1423979.7,1423979.7,0.0,469326.6432,0.0,3.0341
2020-09-22,BUY_TRANCHE_2,2.8818,1423979.7,0.0,1423979.7,469326.6432,963452.0916,3.0341,2.956
2020-09-24,ALERT_MA60,2.7341,0.0,0.0,0.0,963452.0916,963452.0916,2.956,2.956
