entry_date,exit_date,days_held,initial_capital,entry_avg_price,exit_price,position_taken,total_invested,total_proceeds,pnl,pnl_pct,capital_after,ma60_alerted
2026-03-31,2026-04-01,1,20000.0,19.26,21.0,FULL,20000.0,21806.85,1806.85,9.03,41806.85,True
2026-04-02,2026-04-08,6,41806.85,20.0,22.93,FULL,41806.85,47931.56,6124.7,14.65,47931.56,False
2026-04-30,2026-05-04,4,47931.56,28.61,31.0,HALF,23965.78,25967.81,2002.03,8.35,69933.59,False
2026-05-13,2026-05-25,12,69933.59,30.8602,34.56,FULL,69933.59,78317.95,8384.36,11.99,78317.95,False
2026-06-05,2026-06-18,13,98317.95,35.1766,38.33,FULL,98317.95,107131.78,8813.82,8.96,107131.78,False
2026-06-24,2026-07-01,7,107131.78,36.6158,39.48,FULL,107131.78,115512.0,8380.23,7.82,135512.0,False
